ID,식품명,상품명,식품대분류,식품상세분류,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
227,부침개,호박부침개,"전,적 및 부침류",채소류전,129,10.1,3.9,8.1,3.6,1.3,174.33
228,북엇국,북엇국,국 및 탕류,"어패류국,탕",111,3.4,15.6,3.9,0.5,4.2,929.98
229,불고기,불고기,구이류,육류구이,395.29,7.8,34.4,25.2,7.9,1.2,560.71
230,붉은 양배추 절임,"배추, 봄 재배, 염절임",농축산물,채소류,15,2.89,1.63,0.09,1.44,2.5,496
231,붕어빵,"빵, 붕어빵, 팥",농축산물,곡류 및 그 제품,254,44.12,4.81,6.44,11.98,6.2,276
232,브라우니,브라우니,빵류,기타 빵류,406,0,0,0,0,0,0
233,브라질너트,"브라질너트, 볶은것",농축산물,견과류 및 종실류,669,9.6,14.9,69.1,2.3,7.2,78
234,브로콜리,"브로콜리, 생것",농축산물,채소류,32,6.32,3.08,0.2,0.79,3.1,3
235,블랙커피,스타벅스 블랙커피 스윗 다크 블렌드,커피,커피,73,16,0,1,16,0,100
236,블루베리,블루베리,아이스크림류,아이스크림류,204,0,2,0,44,0,51
237,비빔냉면,비빔냉면,면 및 만두류,국수류,499,66.7,28.3,13.2,20.1,7.4,887.31
238,비빔밥,비빔밥,밥류,비빔밥류,691.62,98.7,24.6,22,18.3,10.9,1119.66
239,비엔나소시지,비엔나소시지,소시지,소시지,65,1,4,4.6,0.7,0,95
240,빵,곰보빵,빵류,기타 빵류,277.336,42.157,6.313,9.273,11.731,2.854,202.254
241,뻥튀기,뻥튀기,과자,기타과자,110,0,0,0,5,0,200
242,사과,사과,혼합음료,혼합음료,45,11,0,0,11,0,38
243,사과샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
244,사과주스,사과주스 180ml,과/채주스,과/채주스,117,28.97,0.15,0.27,19,0.2,11
245,사과파이,사과파이,빵류,페이스트리류,184,34.8,2.5,3.9,7.1,2.3,204.49
246,사이다,사이다,탄산음료,탄산음료,132,0,0,0,33.6,0,0
247,사탕,"사탕, 드롭스",농축산물,당류,379,97.57,0.31,0.55,42.77,0,44
248,산낙지,"낙지, 생것",농축산물,어패류 및 기타 수산물,59,0,12.99,0.43,0.2,0,479
249,산딸기,"산딸기, 생것",농축산물,과실류,55,13.55,1.35,0.22,7.8,6.9,0
250,살구,"살구, 생것",농축산물,과실류,30,7.12,1.2,0.05,7.39,1.9,1
251,살사소스,살사소스,기타,기타,60,0,1,0,10,0,440
252,삶은고구마,"고구마, 찐것",농축산물,감자 및 전분류,130,31.3,1.5,0,0,0,2
253,삶은달걀,삶은계란,농축산물,육류,78,0.56,6.29,5.3,0.56,0,62
254,삼겹살,삼겹살구이,구이류,육류구이,933,0.7,45.1,83.4,0,1.4,1152.79
255,삼계탕,삼계탕,국 및 탕류,"육류국,탕",911,34.6,96.1,43.2,4,14.4,736.67
256,상추,"상추, 로메인, 청상추, 생것",농축산물,채소류,23,4.59,1.78,0.32,0.87,3.7,12
257,상추샐러드,양상추샐러드,생채및 무침류,샐러드,188,5.1,7.4,15.4,2.4,3.7,236.63
258,새싹샐러드,샐러드 닭가슴살,햄,햄,160,0.7,29,4.4,0.7,0,480
259,새우,새우,기타 수산물가공품,기타 수산물가공품,33.66,2.7,1.75,1.06,0,0,74.79
260,새우매운탕,광어매운탕,국 및 탕류,"어패류국,탕",419.793,9.133,58.417,16.621,1.421,4.3,1799.022
261,새우볶음밥,새우볶음밥,밥류,볶음밥류,635,84.5,23.3,22.7,2.6,6,538.64
262,새우튀김,새우튀김,튀김류,어패류튀김,430,28.4,25.5,23.8,0.1,3.1,728.56
263,생강차,생강차,고형차,고형차,60,14,0,0,8.8,0,28
264,생과일주스,딸기 생과일주스,음료 및 차류,"과일,채소음료류",98,0,1,0,6,0,2
265,생맥주,생맥주,음료 및 차류,주류,157,0,2,0,0,0,38
266,생선구이,생선 구이,수산물,기타 수산물가공품,123,0.31,25.53,1.33,0.09,0,392
267,생선전,생선전,수산물,기타 수산물가공품,300,19.14,28.25,11.48,0.77,1,870
268,생선튀김,가자미튀김,수산물,기타 수산물가공품,175,8.96,17.09,7.39,0.48,0.5,440
269,생크림케이크,생크림케이크,빵류,케이크류,237,27.6,3.4,12.5,14.5,1.1,151.11
270,석류,석류,농축산물,과실류,105,26.44,1.46,0.46,25.52,0.9,5
271,설탕,"설탕, 가루 ",농축산물,당류,389,99.77,0,0,97.81,0,2
272,셀러리,"셀러리, 생것",농축산물,채소류,17,3.95,1.04,0.07,0,2.2,70
273,소고기육포,육포,농축산물,육류,361,20.2,49,8.2,0,0,2180
274,소금,소금,농축산물,조미료류,0,0,0,0,0,0,33597
275,소세지볶음,소세지볶음,볶음류,육류볶음,471,31.8,18.8,29.9,8.9,2.8,1436.06
276,소시지,소시지,즉석섭취식품,즉석섭취식품,384.75,4.05,13.05,15.75,8.21,0,978.75
