ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
1608,"현미찹쌀밥, 중, 들깨무채국, 중, 곤약메추리알조림, 중, 대패오리바베큐소스볶음, 중, 베이컨떡말이구이, 소스, 중, 배추김치, 중, 그린키위, 중",916.4,130.2,35.8,30.4,258.7,0.8,271.4,6.0
1609,"현미찹쌀밥, 중, 소고기고추장찌개, 중, 양배추찜, 쌈장, 중, 자장돈육불고기, 김말이강정, 중, 배추김치, 중, 초코슈",825.6,121.8,46.1,20.5,199.6,0.6,181.0,8.0
1610,"오므라이스, 지단, 중, 팽이버섯된장국, 중, 치커리유자청사과무침, 중, 수제바베큐폭립, 중, 배추김치, 중, 데미그라스소스, 중, 딸기라떼",896.5,97.6,48.5,33.7,327.7,0.7,355.5,5.0
1611,"현미찹쌀밥, 중, 새알심탕, 중, 단배추된장무침, 중, 돈육김치볶음, 중, 두부구이, 중, 깻잎김치, 중, 귤, 중",633.3,94.1,35.2,13.7,81.7,0.4,272.7,6.0
1612,"카레라이스, 중, 시금치고추장무침, 중, 탄두리치킨스테이크, 중, 배추김치, 중, 요구르트, 중, 꽃맛살사과샐러드, 중",871.5,116.1,53.4,26.1,410.1,0.6,181.0,6.0
1613,"현미찹쌀밥, 중, 소고기우거지국, 중, 돼지갈비떡찜, 중, 세발나물무침, 중, 옥수수채소전, 중, 석박지, 중, 스틱젤리",761.7,114.6,38.3,17.2,279.5,0.7,171.9,4.0
1614,"현미찹쌀밥, 중, 돈등뼈감자탕, 중, 미역국수무침, 중, 생선커틀렛, 타르타르소스, 중, 깍두기, 중, 사과, 중",831.9,94.7,51.1,30.8,276.0,0.6,379.5,6.0
1615,"모듬채소피클, 중, 미트소스스파게티, 중, 레몬소스치킨, 중, 대파크림치즈파이, 중, 유기농포도쥬스, 중",813.9,131.3,43.2,16.6,325.0,0.5,205.6,2.0
1616,"현미찹쌀밥, 중, 짬뽕순두부찌개, 중, 콩나물당근무침, 중, 굴소스돈육볶음, 중, 소떡소떡, 중, 총각김치, 중, 배, 중",838.7,143.7,48.4,11.3,241.4,0.6,231.0,5.0
1617,"토마토눈꽃치즈제육덮밥, 중, 어묵장국, 중, 핫도그, 케찹, 소, 중, 숙주미나리무침, 중, 멕시칸샐러드, 중, 배추김치, 중, 리치에이드, 중",914.4,129.2,51.8,24.2,419.4,0.8,309.4,5.0
1618,"현미찹쌀밥, 중, 닭개장, 중, 비엔나소시지채소볶음, 중, 가자미살카레튀김, 중, 김구이, 중, 깍두기, 중, 멜론, 세지, 중",772.2,100.9,44.2,23.4,236.7,0.6,211.1,3.0
1619,"현미찹쌀밥, 중, 소고기미역국, 중, 진미채무침, 중, 순대채소볶음, 중, 스팸달걀부침, 중, 배추김치, 중, 짜먹는요플레, 중",724.1,109.3,35.1,17.5,242.7,0.6,237.3,6.0
1620,"야채볶음밥, 중, 계란실파국, 중, 꼬막채소무침, 중, 스윗치즈치킨구이, 중, 깍두기, 중, 자장소스, 중, 파인애플, 중",675.0,77.9,48.9,21.4,340.3,0.7,193.3,4.0
1621,"한방오리죽, 중, 실곤약채소무침, 중, 새우게살크림탕수육, 중, 몬테크리스토샌드위치, 중, 배추김치, 중, 귤, 중",941.9,120.0,31.9,39.6,239.6,0.7,395.5,6.0
1622,"현미찹쌀밥, 간, 제육볶음, 간, 채소달걀말이, 간, 깍두기, 간, 요구르트, 유, 간",1068.0,122.0,74.0,33.6,602.6,1.3,249.7,6.0
1623,"큐브스테이크볶음밥, 간, 팽이버섯된장국, 간, 배추김치, 간, 골드키위, 간",1060.3,90.8,34.3,63.1,230.1,0.7,190.9,7.0
1624,"찜닭덮밥, 간, 호빵, 간, 오이지무침, 간",987.2,146.1,56.6,22.4,232.0,0.6,156.5,3.0
1625,"소고기콩나물밥, 간, 초당옥수수구이, 간, 배추김치, 간, 복숭아요구르트, 간",791.2,120.9,25.8,24.3,198.8,0.6,413.0,3.0
1626,"참치김치볶음밥, 간, 콩나물국, 간, 핫도그, 케찹, 간",696.1,104.4,30.3,17.6,156.8,0.4,254.3,6.0
1627,"자장밥, 간, 깐풍기, 간, 단무지, 간",1310.7,174.6,60.7,44.8,385.2,0.9,144.9,4.0
1628,"쇠고기콩나물밥, 간, 삼겹살김치찜, 간, 식혜, 간",841.6,103.8,40.0,31.4,148.6,0.7,191.2,4.0
1629,"시금치베이컨볶음밥, 간, 골뱅이채소무침, 간, 깍두기, 간",685.2,89.4,36.2,20.9,431.5,0.5,156.9,3.0
1630,"카레라이스, 간, 닭장각소금구이, 간, 배추김치, 간",1135.8,128.7,66.5,46.8,524.4,0.6,205.2,6.0
1631,"낙지볶음밥, 간, 미역국, 간, 달걀찜, 간, 깍두기, 간",694.3,87.3,40.0,21.7,380.5,0.8,308.1,6.0
1632,"곤드레나물밥, 간, 코다리강정, 간, 열무김치, 간, 요구르트, 유, 간",1134.8,157.3,37.4,41.1,251.3,1.5,222.6,3.0
1633,"참치김치볶음밥, 간, 콩나물국, 간, 핫도그, 케찹, 간",731.8,109.7,32.0,18.5,166.1,0.4,270.3,7.0
1634,"소불고기비빔밥, 간, 김치국, 간, 바나나, 간",898.5,139.0,43.8,22.5,362.9,0.7,242.6,6.0
1635,"큐브스테이크볶음밥, 간, 팽이버섯된장국, 간, 배추김치, 간, 골드키위, 간",1133.9,96.6,35.6,68.0,257.9,0.7,203.7,7.0
1636,"찜닭덮밥, 간, 호빵, 간, 오이지무침, 간",920.6,154.0,47.1,15.8,220.2,0.5,159.3,2.0
1637,"나물비빔밥, 간, 깨찰빵, 생지, 간, 배추김치, 간",558.3,96.8,19.7,8.5,572.7,0.4,132.3,3.0
1638,"치킨데리야끼볶음밥, 간, 김치국, 간, 떡강정, 간, 깍두기, 간",830.0,147.5,34.6,13.2,214.7,0.4,257.4,3.0
1639,"미트볼토마토스파게티, 간, 수제마늘빵, 간, 채소피클, 간",1116.8,141.1,38.2,47.7,457.0,0.6,484.3,4.0
1640,"김밥볶음밥, 간, 어묵국, 간, 배추김치, 간, 배주스, 간",635.2,95.8,30.6,16.1,254.8,0.4,291.1,4.0
