ID,식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),리보플라빈(mg),칼슘(mg),철분(mg)
4934,"맑은콩나물무채국, 가지마파두부덮밥, 짜사이무침, 오이, 무, 알감자꼬치, 케찹, 배추김치, 수박",745.8,102.5,32.9,24.9,310.7,0.6,241.6,4.0
4935,"산채비빔밥, 무청시래기된장국, 계란후라이, 감자칩핫도그, 케첩, 백김치, 비빔밥고추장",807.9,124.0,33.2,23.0,511.8,0.9,366.6,6.0
4936,"병아리콩밥, 황태채무국, 상추겉절이, 고추장돈육불고기, 고구마튀김, 배추김치",853.8,130.0,49.8,18.6,296.8,0.7,247.5,4.0
4937,"카레라이스, 오이지무침, 배추김치, 불고기카레라이스, 수제홍루이젠, 유기농식혜",952.9,119.2,33.5,41.7,461.1,0.7,297.3,5.0
4938,"잡곡현미밥, 떡만두국, 만두국, 고구마줄기볶음, 닭다리양념튀김, 배추김치, 짜요짜요, 포도",869.4,132.8,43.4,16.3,99.5,0.4,281.0,7.0
4939,"날치알김치볶음밥, 맑은장국, 가쓰오, 까르보나라떡볶이, 깍두기, 일품, 토마토카프리제샐러드",841.7,118.9,28.5,27.8,234.3,0.4,421.1,3.0
4940,"곤드레나물밥, 근대된장국, 옥수수올챙이묵채소무침, 소떡소떡, 배추김치, 달래간장양념장",792.3,148.4,24.9,12.8,558.9,0.7,429.0,5.0
4941,"차조현미밥, 남도식, 콩나물국, 닭갈비, 수제채소튀김, 강, 불닭맛김, 배추김치",806.1,134.1,42.3,16.1,417.7,0.5,225.2,3.0
4942,"자장면, 꼬깔도넛, 초코, 군만두, 배추김치, 유기농오렌지쥬스, 하트단무지",637.8,102.8,19.8,19.7,198.4,0.4,126.0,1.0
4943,"발아현미밥, 닭개장, 건파래볶음, 석박지, 오코노미야끼, 참외, 생과일",832.9,109.4,39.5,27.8,128.7,0.8,182.4,4.0
4944,"귀리밥, 두부김치국, 크링클컷, 감자튀김, 정통함박스테이크, 레드와인소스, 깻잎김치, 깍두기, 일품",908.7,114.3,33.9,34.3,61.4,0.4,291.6,4.0
4945,"차조현미밥, 쇠고기장터국, 쫄면채소무침, 가자미순살튀김, 배추김치, 바람떡",920.5,148.1,46.1,17.2,171.7,0.6,201.8,4.0
4946,"율무현미밥, 등뼈감자탕, 미역줄기맛살볶음, 고기완자, 호박전, 석박지, 오렌지, 생과일",710.9,97.2,41.2,20.3,314.4,0.6,278.3,6.0
4947,"김밥볶음밥, 팽이버섯맑은된장국, 찐순대, 밀떡볶이, 배추김치, 자두쥬스, 음료",986.6,170.0,36.3,19.2,395.0,0.9,288.5,9.0
4948,"귀리밥, 들깨무채국, 어묵파프리카볶음, 깻잎무쌈, 강, 돼지고기주꾸미볶음, 주꾸미마요소스, 배추김치",710.3,97.2,40.5,19.7,292.6,0.8,278.7,5.0
4949,"잡곡현미밥, 새싹초코타르트, 강빛, 짬뽕순두부국, 참나물사과겉절이, 옛날소시지전, 수제치킨커틀렛, 배추김치",912.8,109.9,49.6,28.8,142.5,0.5,246.8,6.0
4950,"발아현미밥, 얼갈이배추된장국, 청포묵냉채, 열무김치, 수제요구르트, 뮤즐리, 돼지고기김치볶음, 두부",701.7,99.6,42.3,16.1,394.2,1.0,416.9,6.0
4951,"홍국찹쌀밥, 조랭이떡미역국, 찜닭, 강, 유채나물무침, 강, 배추김치, 생과일찹쌀떡, 딸기",779.8,122.2,41.3,12.7,317.9,0.4,229.9,3.0
4952,"김치볶음밥, 포, 맑은장국, 가쓰오, 통살닭꼬치, 칠리소스, 깍두기, 일품, 감귤음료",1070.7,170.7,40.2,22.7,288.0,0.4,456.1,4.0
4953,"강황찹쌀밥, 육개장, 참깨날치알달걀찜, 타코야끼, 배추김치, 오이소박이",841.9,98.4,33.5,33.9,344.5,0.8,268.0,6.0
4954,"찹쌀밥, 순대국, 두부간장조림, 부추무침, 자, 메이플피칸파이, 오븐, 석박지",1026.0,119.5,62.0,33.2,218.6,1.1,293.8,9.0
4955,"건파래볶음밥, 근대된장국, 수육, 전, 목, 무쌈, 화전, 보쌈김치",905.5,101.9,58.0,31.1,317.4,0.7,286.0,6.0
4956,"찹쌀밥, 참치김치찌개, 취나물볶음, 수원왕갈비맛치킨, 총각무김치",829.8,103.2,55.7,24.1,1315.1,0.7,459.7,1.0
4957,"하이라이스, 뱅글뱅글, 소시지, 깍두기, 일품, 참다래, 음료, 열대과일샐러드",856.1,155.4,29.1,17.4,276.5,0.5,120.2,2.0
4958,"잡곡현미밥, 잔치국수, 少, 콩나물무침, 닭갈비, 배추김치, 생과일, 바나나",854.5,135.9,45.9,15.9,359.2,0.6,372.5,4.0
4959,"차조현미밥, 어묵국, 치트콕콕언양식불고기, 파채무침, 버섯부추잡채, 배추김치, 그린애플마카롱",805.2,118.6,34.2,22.1,147.5,0.5,219.5,4.0
4960,"달래오이생채, 닭다리살스테이크, 오븐, 배추김치, 생크림카레라이스, 사과",790.2,108.7,47.7,23.2,406.9,0.4,160.3,4.0
4961,"차조현미밥, 등뼈감자탕, 도토리묵말랭이무침, 계란말이, 석박지, 대저토마토",725.0,96.8,42.3,21.5,510.8,0.8,227.1,5.0
4962,"오색채소비빔밥, 봄동된장국, 오븐, 회오리감자, 백김치, 런, 유산균, 음료, 비빔밥고추장, 매실",753.4,134.0,21.8,17.2,564.8,0.4,220.2,4.0
4963,"찹쌀밥, 맑은콩나물무채국, 수제등심커틀렛, 양념깻잎, 깍두기, 일품, 브라운소스, 폐스츄리컵스프",962.1,127.4,47.1,11.5,61.7,0.5,200.7,3.0
4964,"발아현미밥, 붓세, 벚꽃, 감자옹심이국, 시금치나물, 김치볶음, 훈제오리구이, 허니머스터드드레싱, 인용",820.2,110.5,28.9,32.5,412.5,0.4,221.2,4.0
4965,"오므라이스, 팽이버섯맑은된장국, 지파이, 배추김치, 오므라이스소스, 음료, 청포도",859.7,118.7,39.2,25.1,285.9,1.0,237.6,7.0
4966,"찰옥수수밥, 햄모듬찌개, 햄, 無, 열무된장무침, 함초김, 삼치살카레구이, 총각무김치",839.4,91.7,50.2,30.2,295.3,0.6,262.9,5.0
4967,"유니자장밥, 짜사이무침, 오이, 무, 찹쌀꿔바로우, 소스, 배추김치, 요거트씨리얼토핑",887.5,128.7,38.5,25.4,270.2,0.7,317.2,1.0
4968,"강황찹쌀밥, 얼갈이배추된장국, 찜닭, 오징어김치전, 총각무김치, 밀감푸딩",958.5,140.8,44.7,22.8,289.1,0.8,236.8,4.0
4969,"잡곡밥, 꼬치어묵국, 유채나물무침, 고추장돈육불고기, 배추김치, 파인애플, 생과일",739.7,105.3,51.2,14.3,381.2,0.6,257.0,4.0
4970,"발아현미밥, 쇠고기장터국, 두부세발나물무침, 생선커틀렛, 잠발라소스, 배추김치, 오렌지컵과일, 딸, 청, 오렌지",775.2,119.8,28.3,22.5,334.5,0.4,224.9,4.0
4971,"차조현미밥, 물만두국, 삼색나물무침, 고, 도, 시, 찹쌀콩멸치볶음, 비엔나채소볶음, 배추김치",838.5,109.1,36.4,29.1,343.1,0.5,321.7,7.0
4972,"찹쌀밥, 들깨미역국, 매운돼지갈비찜, 구운두부, 오리엔탈소스, 배추김치, 양념깻잎지, 스틱치즈케이크, 개포장",880.4,108.5,44.0,31.3,198.1,0.7,252.0,4.0
4973,"칼슘찹쌀밥, 물만두국, 핫바, 머스터드, 수제바베큐폭립, 배추김치, 콘드레싱, 포도주스, 그린샐러드",1710.2,162.0,78.5,84.8,130.1,1.2,203.9,8.0
4974,"주먹밥, 조미, 얼큰하얀짬뽕, 오이지무침, 회오리감자튀김, 배추김치, 파인애플후룻볼",1440.9,241.2,48.7,34.0,427.9,1.6,320.0,7.0
4975,"흑미밥, 쫄면야채무침, 우유생크림오믈렛, 두부김치찌개, 닭다리오븐구이, 깍두기, 오렌지주스",1011.6,150.9,61.6,23.5,552.7,0.7,178.9,1.0
4976,"소시지오므라이스, 소스, 얼갈이된장국, 오징어야채초무침, 떡고구마맛탕, 배추김치, 사과",1098.5,170.1,42.9,30.5,514.5,0.7,255.1,6.0
4977,"혼합잡곡밥, 건새우수제비국, 쭈꾸미삼겹살볶음, 스크램블에그, 동그랑땡, 배추김치, 티라미수맛아몬드",1584.9,159.9,93.9,66.5,641.0,2.0,214.4,9.0
4978,"보리밥, 열무된장국, 무미나리생채, 까르보나라떡볶이, 순살양념치킨, 배추김치, 파인애플주스",1333.9,192.1,63.5,32.4,311.9,0.6,356.7,6.0
4979,"율무밥, 사골곰국, 돼지갈비찜, 도토리묵참나물무침, 배추겉절이, 순두부, 양념장, 포도",1448.6,183.3,65.4,46.6,240.9,1.4,249.7,7.0
4980,"옥수수밥, 우리밀구운도넛, 참치김치찌개, 돈육잡채, 쥐포고추장볶음, 비엔나볶음, 응원햄, 깍두기",1049.1,157.4,38.6,29.9,277.2,0.7,170.2,4.0
4981,"기장밥, 들깨무채국, 메추리알장조림, 도라지생채, 참깨소스, 안심돈카츠, 배추김치, 키위주스",1243.7,196.5,36.5,38.2,199.9,1.1,265.0,6.0
4982,"혼합잡곡밥, 모듬햄찌개, 매운감자조림, 미역오이초무침, 크리스피돈강정, 배추김치, 캐플주스",1154.1,179.7,42.7,31.7,276.1,12.9,238.1,1.0
4983,"팥밥, 짬뽕국, 우불고기당면볶음, 명엽채볶음, 장떡, 배추김치, 아이스블루베리",1080.2,123.3,59.1,39.0,301.7,0.7,238.5,6.0
4984,"카레라이스, 모듬어묵국, 진미야채초무침, 바삭핫도그, 배추김치, 수박주스, 그린키위",978.0,165.4,41.2,23.0,479.6,0.5,244.0,5.0
4985,"보리밥, 배추된장국, 우엉땅콩조림, 구이김, 두툼너비아니구이, 소스, 깍두기, 파인애플",1121.7,139.1,51.8,42.2,156.2,0.6,184.0,6.0
4986,"김치콩나물밥, 조랭이떡국, 야채계란찜, 감자말이새우튀김, 깍두기, 쿠키앤크림슈, 망고주스, 돌",1069.2,166.7,35.9,22.1,204.2,0.8,243.9,6.0
4987,"병아리콩밥, 감자양파국, 탕평채, 돈육고추장볶음, 호두멸치조림, 배추김치, 청사과",1163.2,153.5,88.2,29.1,444.7,1.2,191.6,5.0
4988,"닭살데리야끼볶음밥, 고구마치즈케이크, 소고기무국, 오이부추무침, 해물완자, 깍두기, 머스터드, 마시는요거트, 사과",1129.5,146.8,55.7,29.3,936.4,0.7,253.4,5.0
4989,"수수밥, 팽이된장국, 돼지수육, 군만두, 초간장, 배추김치, 무말랭이무침, 쌈장, 매실에이드",1255.7,150.0,58.7,47.8,174.3,1.0,223.8,1.0
4990,"기장밥, 황태국, 두부양념조림, 쥐어채볶음, 피자맛스테이크, 배추김치, 아이스망고",1037.1,118.0,54.8,35.1,46.4,0.8,340.8,7.0
4991,"흑미밥, 버섯육개장, 마늘쫑고추장무침, 군어묵볶음, 통모짜레랄치즈생선까스, 갈릭스테이크소스, 배추김치, 아이스경단, 두가지맛",1219.3,171.0,39.2,44.1,232.8,0.6,171.0,4.0
4992,"차조밥, 무다시마국, 안동찜닭, 김치볶음, 온두부, 오색전, 열무김치, 샤인머스캣요구르트",985.0,141.6,58.8,14.8,256.2,0.8,314.1,6.0
4993,"혼합잡곡밥, 소고기미역국, 탕평채, 오징어떡야채볶음, 고추송송고기말이, 열무김치, 바나나",1516.9,152.8,89.9,63.9,505.1,1.4,240.5,4.0
4994,"옥수수밥, 시금치된장국, 두부양념조림, 모짜치즈돈까스, 배추김치, 유기농, 주스, 코우슬로",1021.9,139.4,56.0,26.4,719.7,0.9,417.0,8.0
4995,"수수밥, 시나몬롤파이, 사골곰국, 쥐어채볶음, 마늘깐풍기, 배추김치, 방울카프레제샐러드",1459.6,179.7,50.4,58.8,231.9,0.6,329.1,3.0
4996,"검정콩밥, 콩가루배추국, 무화과연근조림, 돈육콩나물찜, 에그랑땡, 깍두기, 그린키위",1009.1,137.4,55.9,29.2,116.1,0.9,304.9,7.0
4997,"소고기하이라이스, 맑은장국, 오이지무침, 뿌링클소떡소떡, 깍두기, 바나나우유, 크래미샐러드",1213.2,145.8,44.6,50.7,450.8,0.7,436.2,9.0
4998,"보리밥, 짬뽕국, 난자완스, 건파래볶음, 피망감자채볶음, 배추김치, 크림슨포도, 적포도",1126.6,146.9,49.8,46.1,759.5,1.0,279.1,6.0
4999,"김치콩나물밥, 먼치킨, 도토리묵국수, 메추리알장조림, 치즈, 새우어묵고로케, 깍두기, 오렌지주스",1252.9,168.9,44.6,49.7,408.1,1.3,291.4,7.0
5000,"울타리콩밥, 순두부찌개, 꽈리고추멸치조림, 도라지생채, 떡갈비, 감자후레이크, 배추겉절이, 샤인머스캣요구르트",888.0,125.9,43.3,24.2,177.3,0.8,249.2,9.0
5001,"현미밥, 삼색떡국, 진미채무침, 어묵잡채, 순살파닭, 배추김치, 사과",1138.7,154.2,66.4,30.4,441.3,0.7,210.6,6.0
5002,"제육비빔밥, 바나나팬케익, 건새우아욱국, 대파해물전, 배추김치, 초코우유",1363.2,172.9,91.7,40.2,791.4,2.0,464.4,7.0
5003,"혼합잡곡밥, 무다시마국, 고기찐빵만두, 도토리묵, 양념장, 훈제오리, 머스터드, 배추김치, 아이스망고",1066.5,112.4,40.3,46.5,44.1,0.8,177.8,4.0
5004,"차조밥, 육개장, 국, 오징어야채초무침, 명엽채볶음, 누룽지레몬탕수육, 배추김치, 워터젤리, 복숭아",1119.5,189.1,44.9,23.1,196.8,0.6,207.3,1.0
5005,"흑미밥, 콩나물국, 얼갈이참나물무침, 우불고기당면볶음, 매콤어두부전, 배추김치, 깔라만시레몬에이드",1196.1,146.8,52.6,43.8,233.1,1.1,226.6,7.0
5006,"보리밥, 얼갈이된장국, 무미나리생채, 참치고추장볶음, 콘치즈함박스테이크, 배추김치, 파인애플",952.5,137.6,43.2,27.3,309.1,0.5,279.6,6.0
5007,"베이컨김치볶음밥, 팽이가쓰오장국, 계란후라이, 깍두기, 체리, 밀크쉐이크, 포도드레싱, 그린샐러드",979.0,118.5,34.5,43.7,396.4,1.5,288.2,5.0
5008,"완두콩밥, 황태국, 닭감자조림, 햄마늘쫑무침, 김구이, 배추김치, 골드키위",921.2,153.7,55.4,15.8,524.0,0.6,170.7,5.0
5009,"기장밥, 콘푸로스트시리얼도넛, 모듬어묵국, 야채계란말이, 새우까스, 타르타르, 깍두기, 파인애플주스",1359.8,175.0,43.5,53.9,212.1,0.5,254.0,5.0
5010,"현미밥, 대파국, 군어묵볶음, 닭다리살스테이크, 배추김치, 아이스홍시, 시져샐러드",849.4,93.7,42.3,36.3,263.1,0.6,173.4,4.0
5011,"흑미밥, 소고기무국, 아삭이고추오이무침, 돈목살굴소스볶음, 부추전, 배추김치, 마시는요거트, 포도",1075.1,141.5,64.4,28.1,204.8,1.3,260.8,4.0
5012,"율무밥, 딸기다쿠아즈, 김치수제비국, 오꼬노미멘츠까츠, 알감자버터구이, 깍두기, 콘드레싱, 그린샐러드",1272.0,154.4,30.2,56.4,152.8,0.3,177.9,4.0
5013,"차조밥, 비빔쫄면, 팽이된장국, 훈제바베큐, 부추무침, 납작만두, 배추김치, 요구르트, 사과",1104.4,154.5,55.7,33.4,275.2,0.9,228.6,1.0
5014,"칼슘찹쌀밥, 얼큰만두칼국수, 대, 허니버터맥나잇, 숙주당근무침, 명엽채볶음, 배추김치, 그린키위",1304.2,179.8,54.3,42.8,234.1,0.7,224.5,4.0
5015,"현미밥, 쫄면순두부찌개, 닭봉고구마떡조림, 새우젓계란찜, 배추김치, 무말랭이무침, 바나나",1165.0,189.3,53.1,24.6,283.4,0.8,215.9,1.0
5016,"미트볼스파게티, 브로컬리스프, 오리엔탈드레싱, 프렌치토스트, 청사과에이드, 오이피클, 할라피뇨, 그린샐러드",1084.5,182.7,34.8,27.1,390.0,0.8,212.9,5.0
5017,"검정콩밥, 우유버터스콘, 일품순대국, 마늘쫑볶음, 장떡, 배추겉절이, 딸기잼, 오렌지주스",1143.9,149.2,53.2,39.0,122.9,0.9,216.4,8.0
5018,"새우튀김덮밥, 꼬치어묵우동탕, 두부양념조림, 오이지무침, 깍두기, 망고소르베, 연유",1352.3,193.0,52.3,40.3,237.8,1.8,432.9,1.0
5019,"누룽현미밥, 근대된장국, 맛살야채초무침, 로제떡볶이, 마늘데리야끼치킨, 배추김치, 짜먹는요구르트",1328.4,191.8,65.6,33.1,668.5,0.7,245.2,7.0
5020,"흑미밥, 롤케이크, 옥수수롤케이크, 조랭이떡국, 볼어묵조림, 도토리묵참나물무침, 오삼불고기, 배추김치",1283.0,193.7,65.2,29.7,518.5,1.2,237.7,5.0
5021,"계란볶음밥, 무다시마국, 회오리핫도그, 깍두기, 흑임자드레싱, 짜장소스, 딸기우유, 그린샐러드",1156.2,125.7,44.5,54.8,415.4,1.1,412.0,5.0
5022,"혼합잡곡밥, 육개장, 국, 얼갈이된장무침, 돈육잡채, 치즈비엔나볶음, 배추김치, 아이스블루베리",992.3,136.0,43.6,30.9,294.6,0.9,282.5,5.0
5023,"차조밥, 사골곰국, 매운돼지갈비찜, 연두부, 양념장, 풋고추멸치볶음, 배추김치, 복숭아주스",1438.8,191.4,64.1,47.4,343.2,1.2,251.6,6.0
5024,"수수밥, 쇼콜라볼, 감자양파국, 상추치커리무침, 돈육고추장볶음, 오색산적, 배추김치",931.3,138.9,52.6,17.6,347.9,1.1,172.4,6.0
5025,"팥밥, 고추장찌개, 안동찜닭, 맛살스크램블에그, 진미채볶음, 배추김치, 아이스망고",973.1,138.7,61.7,18.6,397.0,1.0,191.4,9.0
5026,"현미밥, 사쪽마늘빵, 도토리수제비국, 도라지생채, 언양불고기, 배추김치, 콘샐러드",1071.7,149.1,37.6,39.5,151.8,0.5,175.4,9.0
5027,"보리밥, 팽이가쓰오장국, 마파두부, 인절미통등심꿔바로우, 배추김치, 톰슨포도, 청포도, 크래미샐러드",1232.7,177.8,42.9,41.4,187.3,0.8,222.4,3.0
5028,"기장밥, 우렁된장국, 콩나물무침, 낙지볶음, 명란김자반, 잡채전병, 배추김치, 식혜",1040.3,174.2,55.9,23.2,756.2,0.9,336.0,1.0
5029,"혼합잡곡밥, 청국장찌개, 메추리알장조림, 오징어실채볶음, 치킨텐더샐러드, 배추김치, 치폴레마요소스, 사과",1438.9,129.5,65.9,71.5,207.5,1.2,178.8,1.0
5030,"율무밥, 참치김치찌개, 골뱅이야채무침, 피망감자채볶음, 타르트스테이크, 깍두기, 매실에이드",938.3,133.3,39.5,29.0,224.1,0.5,185.0,5.0
5031,"수수밥, 소고기미역국, 무미나리생채, 오리주물럭, 고사리녹두전, 배추김치, 요구르트, 플레인, 방울토마토",1060.4,131.4,43.7,43.2,474.7,1.0,253.1,7.0
5032,"흑미밥, 얼갈이된장국, 매운감자조림, 겹등심돈까스, 배추김치, 참깨드레싱, 골드키위, 양배추샐러드",1154.5,166.7,38.0,41.0,231.4,0.6,219.4,5.0
5033,"차조밥, 레몬케이크, 대파국, 청포묵김무침, 오이부추무침, 우불고기, 배추김치",890.0,126.9,45.8,24.6,323.4,0.9,138.5,6.0
5034,"기장밥, 황태국, 세발나물무침, 새송이버섯볶음, 돼지고기쌈장구이, 배추김치, 초콜릿라이스칩",941.4,111.7,48.0,36.4,207.2,0.7,149.2,5.0
5035,"흑미밥, 도토리묵국수, 시금치나물, 어묵잡채, 순살파닭, 배추김치, 방울토마토",1050.6,151.1,57.4,24.4,732.3,0.8,181.7,6.0
5036,"수수밥, 인절미토스트, 갈비탕, 깍두기, 배추겉절이, 워터젤리, 복숭아",1029.6,143.5,48.9,27.2,46.6,0.5,118.8,5.0
5037,"율무밥, 쫄면야채무침, 들깨무채국, 베이컨감자채볶음, 너비아니구이, 배추김치, 겨자소스, 그린키위",1155.5,150.0,50.7,45.7,303.8,0.6,218.5,9.0
5038,"김치콩나물밥, 브라우니, 꽃게된장국, 야채계란말이, 떡강정, 두부카츠, 알타리김치, 바나나우유",1059.4,175.9,42.7,20.3,323.9,0.9,376.9,7.0
5039,"보리밥, 모듬햄찌개, 생깻잎지, 철판돼지불고기, 납작부침군만두, 초간장, 배추김치, 아이스망고",1096.1,144.2,62.5,27.5,229.9,1.0,189.0,4.0
5040,"현미밥, 얼갈이된장국, 쭈꾸미삼겹살볶음, 케이준감자튀김, 허브소세지구이, 머스터드, 배추김치, 유산균요구르트",1308.4,146.4,54.5,59.1,265.7,0.9,302.1,6.0
5041,"카레라이스, 콩나물국, 청포묵김무침, 닭다리살스테이크, 배추김치, 알로에청포도주스, 단감",895.1,133.9,48.2,25.5,378.5,0.6,172.9,5.0
5042,"병아리콩밥, 꽃빵, 육개장, 국, 볼어묵조림, 부추잡채, 과일탕수육, 배추겉절이, 배",1142.2,178.8,50.7,27.2,355.6,1.1,207.5,1.0
5043,"차조밥, 우리밀구운도넛, 조랭이떡국, 쥐포고추장볶음, 닭살데리야끼볶음, 부추전, 배추김치",1138.5,177.6,49.9,25.6,152.5,0.5,153.5,4.0
5044,"팥밥, 화이트슈, 근대된장국, 새우젓계란찜, 돼지수육, 무말랭이무침, 보쌈김치, 쌈장, 사과주스",1225.2,120.3,54.9,50.1,413.9,0.8,249.5,1.0
5045,"흑미밥, 순두부찌개, 도토리묵, 양념장, 비엔나푸실리볶음, 치킨텐더샐러드, 배추김치, 아이스블루베리",1283.8,158.8,57.3,47.9,244.4,1.0,246.7,6.0
5046,"수수밥, 김계란국, 야채떡볶이, 김말이튀김, 맛밤떡갈비, 부추무침, 배추김치, 한라봉주스, 콘샐러드",1710.4,228.2,61.0,67.1,275.4,1.0,239.6,1.0
5047,"혼합잡곡밥, 황태국, 호두연근조림, 군어묵멸치볶음, 삼겹살김치볶음, 온두부, 배추김치, 바나나",1091.8,143.2,49.6,38.6,259.9,0.9,290.1,5.0
5048,"기장밥, 호두과자, 참치김치찌개, 풋고추감자조림, 건새우볶음, 네모피쉬커틀렛, 타르타르소스, 깍두기, 막대사탕, 딸기, 초코우유",1201.0,173.0,51.6,36.3,199.9,0.8,732.6,7.0
5049,"누룽현미밥, 물만두국, 오징어야채초무침, 명엽채볶음, 식돼지갈비찜, 배추김치, 천혜향",1369.0,152.3,79.9,49.3,285.4,1.2,231.8,8.0
5050,"검정콩밥, 메이플피칸파이, 냉이된장국, 오이부추무침, 뼈없는닭갈비, 동그랑땡, 배추김치",1128.8,187.0,57.8,23.0,527.0,0.8,256.2,1.0
5051,"보리밥, 황태미역국, 콩나물무침, 돈육잡채, 와규언양식불고기, 배추김치, 샤인머스캣요구르트",1076.0,126.7,55.0,36.8,165.4,1.1,257.4,6.0
5052,"차조밥, 돼지고기고추장찌개, 메추리알장조림, 진미채볶음, 참깨소스, 치즈돈까스, 배추김치, 사과",1156.7,147.8,56.2,39.7,268.4,1.1,380.0,6.0
5053,"흑미밥, 감자수제비국, 두부양념조림, 제육볶음, 맛살계란말이, 배추김치, 딸기",1180.3,154.9,68.5,36.9,505.6,1.6,295.3,8.0
5054,"기장밥, 블루베리마카롱, 오징어무국, 쫀득한고기만두, 건파래볶음, 닭다리오븐구이, 배추김치",1000.3,127.8,61.2,32.2,377.7,0.7,137.1,3.0
5055,"보리밥, 일품떡만두국, 콤비네이션피자, 깍두기, 식혜, 마카다미아초코볼, 감귤",1100.1,193.3,33.1,21.8,136.8,0.3,165.3,4.0
5056,"팥밥, 콩나물국, 와규찹스테이크, 양념반달감자튀김, 배추김치, 샤인머스캣요구르트, 크래미샐러드",1340.4,171.2,58.1,45.2,74.1,0.7,242.6,7.0
5057,"제육비빔밥, 카카오붓세, 팽이가쓰오장국, 알감자버터구이, 배추김치, 바나나우유",1397.3,182.5,54.6,57.9,747.0,1.1,333.4,5.0
5058,"현미밥, 시금치된장국, 돼지수육, 무말랭이무침, 보쌈김치, 쌈장, 매실에이드, 아이스경단, 두가지맛",1157.7,146.3,51.5,43.1,517.6,0.7,176.9,1.0
5059,"칼슘찹쌀밥, 바지락순두부찌개, 땡초피쉬바, 가자미파채튀김, 깍두기, 감귤한라봉주스, 꽃맛살샐러드",966.5,131.1,47.3,29.9,86.9,0.7,183.8,9.0
5060,"혼합잡곡밥, 크리스마스케이크, 근대된장국, 볼어묵조림, 도토리묵, 양념장, 돈목살스테이크, 배추김치",1153.5,117.6,58.4,47.1,273.7,1.1,211.7,5.0
5061,"흑미밥, 육개장, 국, 풋고추감자조림, 오징어실채볶음, 치킨텐더샐러드, 배추김치, 감귤",1093.8,134.2,56.6,41.7,152.3,0.8,113.6,4.0
5062,"카오팟무쌉, 태국식덮밥, 쌀국수, 오이부추무침, 계란후라이, 깍두기, 사과주스, 붕어싸만코, 아이스크림",1327.9,163.8,60.0,48.4,181.6,1.2,119.2,5.0
5063,"강낭콩밥, 쫄면야채무침, 소고기무국, 상추사과무침, 돈마호크구이, 배추김치, 그린키위",1296.9,159.6,55.6,52.0,360.2,0.7,238.3,1.0
5064,"기장밥, 감자미역국, 건파래볶음, 삼겹살김치볶음, 온두부, 야채계란말이, 깍두기, 마시는요거트, 사과",1282.0,136.3,50.8,64.8,647.5,1.2,365.4,6.0
5065,"차조밥, 꽃게된장국, 수제등심돈까스, 배추김치, 순두부, 양념장, 달밤라떼, 그린샐러드, 포도드레싱",1379.6,203.6,64.1,32.2,204.6,0.8,358.0,5.0
5066,"혼합잡곡밥, 초코롤케이크, 갈비탕, 석박지, 배추겉절이, 요구르트, 플레인, 황금향",1099.6,163.1,41.2,28.4,160.3,0.7,182.7,3.0
5067,"칼슘찹쌀밥, 호두과자, 들깨수제비국, 정통함박, 양파소스, 탕평채, 마늘쫑진미무침, 배추김치, 파인애플",1061.4,159.8,42.0,30.0,205.6,0.4,190.0,4.0
5068,"카레라이스, 황태국, 쫀득한고기만두, 오이지무침, 배추김치, 사과, 쿠키앤크림우유",1103.7,171.0,51.0,29.2,232.5,0.9,381.7,4.0
5069,"검정콩밥, 청국장찌개, 명엽채볶음, 어묵떡볶이, 멘츠까츠, 배추김치, 단감",1240.0,187.9,48.6,35.1,235.0,0.5,253.9,1.0
5070,"기장밥, 고추장찌개, 두부양념조림, 와규언양식불고기, 구이김, 배추김치, 레드핑크블라썸주스",1207.5,124.6,70.1,48.9,309.1,1.3,263.5,1.0
5071,"흑미밥, 재첩국, 맛살스크램블에그, 호두멸치조림, 식돼지갈비찜, 배추김치, 티라미수찹쌀떡",1262.1,135.1,66.5,48.4,191.2,1.3,194.5,7.0
5072,"현미밥, 콩나물국, 무미나리생채, 궁중떡볶이, 삼겹살고추장볶음, 배추김치, 짜먹는요구르트",1382.3,168.3,44.3,63.9,438.0,1.0,147.2,3.0
5073,"베이컨김치볶음밥, 맑은장국, 미역오이초무침, 계란후라이, 김가루, 피자스테이크, 깍두기, 포도주스, 바나나",1099.1,126.1,77.9,21.4,280.7,0.9,247.1,6.0
5074,"수수밥, 초코휘낭시에, 일품떡만두국, 버터플라이새우튀김, 석박지, 파인애플주스",1429.9,230.8,42.7,37.1,174.0,0.6,188.9,1.0
5075,"차조밥, 쫄면야채무침, 시금치된장국, 부추파채무침, 건새우볶음, 닭다리살스테이크, 배추김치, 황금향",982.9,144.8,50.4,28.2,729.5,0.6,508.2,9.0
5076,"소시지오므라이스, 소스, 팽이가쓰오장국, 오징어야채초무침, 떡고구마맛탕, 배추김치, 파인애플",1056.5,158.2,43.8,30.6,426.6,0.7,189.5,5.0
5077,"보리밥, 비스킷슈, 소고기미역국, 참나물무침, 돈육잡채, 뼈없는닭갈비, 배추김치",1071.3,185.8,55.9,12.3,595.3,0.8,179.7,4.0
5078,"미트스파게티, 씨앗호떡토스트, 브로컬리스프, 짜먹는요구르트, 오이피클, 할라피뇨, 청포도, 방울카프레제샐러드",967.5,168.9,32.3,21.6,297.6,0.6,258.3,3.0
